label,FID,KID
1,185.102782,0.190109
2,149.619910,0.141496
3,126.221060,0.116208
4,133.801979,0.129746
5,98.771467,0.080451
6,106.468541,0.084954
7,110.365386,0.091938
8,101.465047,0.084638
9,96.725990,0.077958
10,105.127955,0.094537
11,95.682953,0.082582
12,98.154745,0.084801
13,96.216324,0.079199
14,87.708186,0.067737
15,91.332040,0.071741
16,89.366464,0.072552
17,93.933481,0.076122
18,84.143096,0.062988
19,98.714010,0.081414
20,88.111695,0.068671
21,90.797969,0.072577
22,100.347856,0.084180
23,87.071901,0.067398
24,88.400697,0.067764
25,94.115057,0.077763
26,91.894034,0.071920
27,94.081686,0.076515
28,88.608143,0.071576
29,85.883859,0.064276
30,91.969499,0.072931
