label,FID,KID
1,163.061290,0.161253
2,139.893511,0.127895
3,128.965990,0.116830
4,110.004273,0.084308
5,102.374153,0.081811
6,101.980395,0.081346
7,99.719212,0.084415
8,95.379318,0.077847
9,105.871433,0.090931
10,95.634813,0.076272
11,97.803524,0.080236
12,99.654988,0.080148
13,97.284541,0.078963
14,93.394935,0.075792
15,92.514861,0.072290
16,93.682233,0.074891
17,94.442985,0.077867
18,98.286720,0.082862
19,86.484845,0.065505
20,90.107883,0.070376
21,92.351584,0.075206
22,86.473021,0.064855
23,97.677386,0.082607
24,86.698634,0.067115
25,87.375794,0.066321
26,84.466752,0.061632
27,86.756026,0.064505
28,95.420988,0.078104
29,93.008872,0.075534
30,84.569019,0.063918
