label,FID,KID
1,241.029091,0.268537
2,153.818453,0.155149
3,157.597525,0.152811
4,124.747083,0.115629
5,128.132963,0.115266
6,136.510222,0.120799
7,108.925895,0.084727
8,105.290101,0.086930
9,114.913029,0.097742
10,111.665513,0.094794
11,94.654779,0.073296
12,95.128044,0.071523
13,106.228634,0.085006
14,99.563858,0.078701
15,98.616832,0.074840
16,105.863458,0.089348
17,96.459294,0.075502
18,95.621208,0.072676
19,89.921222,0.066211
20,95.606305,0.074331
21,91.797627,0.067078
22,90.373970,0.066191
23,91.682172,0.067050
24,88.386671,0.063252
25,96.125300,0.073932
26,92.692222,0.068907
27,83.817657,0.057314
28,94.453026,0.073146
29,93.879782,0.072546
30,96.724963,0.075801
