label,FID,KID
1,213.756712,0.235724
2,141.042269,0.135357
3,232.177974,0.276903
4,146.731180,0.139570
5,154.887167,0.153958
6,123.170183,0.111904
7,99.420074,0.076944
8,107.111777,0.091657
9,112.062219,0.091543
10,92.474191,0.071072
11,98.493056,0.078478
12,91.332078,0.066634
13,102.694564,0.088714
14,104.871821,0.089331
15,99.525018,0.079797
16,106.776614,0.093391
17,101.339782,0.082336
18,95.314504,0.071556
19,88.859866,0.064732
20,98.378644,0.076433
21,93.752867,0.073753
22,92.083159,0.070892
23,97.542895,0.077924
24,92.174481,0.070407
25,102.250998,0.088379
26,98.465405,0.080139
27,92.973780,0.071774
28,99.014391,0.080367
29,97.592400,0.076863
30,92.049158,0.068050
