label,FID,KID
1,217.184807,0.240199
2,158.564905,0.159530
3,178.518347,0.183850
4,142.118338,0.134749
5,122.584337,0.108358
6,123.518477,0.103052
7,104.215294,0.082329
8,137.242783,0.122778
9,101.226765,0.080833
10,110.233961,0.092173
11,102.079935,0.080955
12,96.624145,0.071609
13,91.235253,0.068024
14,99.642717,0.081723
15,105.891474,0.085356
16,100.412448,0.080952
17,95.134508,0.070007
18,91.602336,0.067812
19,94.604464,0.073878
20,95.828491,0.071481
21,89.762752,0.067744
22,92.649200,0.071229
23,92.883263,0.071806
24,96.707404,0.077893
25,97.054947,0.078403
26,90.388015,0.068686
27,96.339872,0.077430
28,90.106296,0.068386
29,101.673477,0.084127
30,97.861765,0.077099
