label,FID,KID
1,192.342569,0.209367
2,137.551768,0.129742
3,112.052765,0.091205
4,109.356240,0.090546
5,105.901616,0.083254
6,101.649145,0.083973
7,88.195273,0.064096
8,89.558822,0.068894
9,87.657014,0.067733
10,98.581085,0.082296
11,93.247929,0.075303
12,102.544487,0.087322
13,100.358634,0.086982
14,102.835366,0.084873
15,101.886196,0.086384
16,99.721414,0.083599
17,97.798931,0.078167
18,95.744981,0.079209
19,104.261218,0.091669
20,103.980315,0.088446
21,99.223939,0.084799
22,104.942273,0.090065
23,103.019292,0.091519
24,99.410101,0.084048
25,98.315811,0.081914
26,90.557001,0.073974
27,96.764258,0.079181
28,92.181274,0.073918
29,89.143013,0.071369
30,88.978815,0.068186
