label,FID,KID
1,282.927012,0.337132
2,170.575856,0.177027
3,178.379911,0.197117
4,167.040654,0.169687
5,137.978374,0.128832
6,126.015721,0.108037
7,113.640841,0.094118
8,115.365430,0.098778
9,104.241970,0.081230
10,104.153310,0.083190
11,92.569837,0.070333
12,90.155580,0.065640
13,94.231506,0.071297
14,91.642613,0.067936
15,93.074462,0.073029
16,97.672926,0.077403
17,92.467071,0.071257
18,89.679339,0.064415
19,91.304942,0.067835
20,94.722369,0.075778
21,94.350543,0.071751
22,102.907919,0.085568
23,89.547844,0.066975
24,92.222139,0.070253
25,88.132062,0.066119
26,95.269082,0.075454
27,87.455031,0.065993
28,91.081104,0.068537
29,97.889203,0.078415
30,94.985038,0.074155
