label,FID,KID
1,169.759301,0.166916
2,159.653295,0.157017
3,124.664428,0.110987
4,119.287251,0.107672
5,89.183887,0.064843
6,107.930725,0.090681
7,102.102345,0.085083
8,100.614963,0.084203
9,104.832448,0.089796
10,88.183429,0.065682
11,101.226830,0.085199
12,84.455986,0.059834
13,100.528041,0.079968
14,91.693974,0.074941
15,90.643903,0.070839
16,98.644743,0.081602
17,88.099866,0.067291
18,87.707434,0.067885
19,91.360327,0.075838
20,87.449258,0.067331
21,85.509328,0.064564
22,79.717224,0.059041
23,88.908616,0.066564
24,87.943767,0.065407
25,94.972537,0.075902
26,87.021059,0.064423
27,85.184959,0.064632
28,82.625996,0.061012
29,87.423423,0.068870
30,85.412038,0.064101
